@relation GENERATED
@attribute A1 numeric
@attribute A2 numeric
@attribute DEC {MIN, MAJ}
@data
[-0.06853465922176838, 6.531507185666106], MAJ
[9.931465340778232, -0.1351594810005574], MAJ
[-9.951347159221768, -9.27096195013636], MAJ
[0.04865284077823162, 4.062371383196972], MAJ
[-4.951347159221768, -2.604295283469693], MAJ
[5.048652840778232, -4.826517505691915], MAJ
[-7.451347159221768, 8.506815827641416], MAJ
[2.5486528407782316, 1.8401491609747511], MAJ
[-2.4513471592217684, -7.048739727914138], MAJ
[7.548652840778232, 6.284593605419193], MAJ
[-8.701347159221768, -0.382073061247471], MAJ
[1.2986528407782316, -7.7894804686548795], MAJ
[-3.7013471592217684, 5.5438528646784535], MAJ
[6.298652840778232, -1.1228138019882117], MAJ
[-6.201347159221768, -3.345036024210434], MAJ
[3.7986528407782316, 9.988297309122897], MAJ
[-1.2013471592217684, 3.3216306424562325], MAJ
[8.798652840778232, -5.567258246432657], MAJ
[-9.326347159221768, 7.766075086900674], MAJ
[0.6736528407782316, 1.0994084202340093], MAJ
[-4.326347159221768, -8.530221209395618], MAJ
[-6.826347159221768, -1.8635545427289524], MAJ
[3.1736528407782316, -4.0857767649511745], MAJ
[-1.8263471592217684, 9.247556568382155], MAJ
[8.173652840778232, 2.5808899017154907], MAJ
[-8.076347159221768, -6.307998987173398], MAJ
[1.9236528407782316, 7.025334346159933], MAJ
[-3.0763471592217684, 0.3586676794932697], MAJ
[6.923652840778232, -9.517875530383273], MAJ
[4.423652840778232, -2.8512088637166064], MAJ
[9.423652840778232, 8.259902247394503], MAJ
[-9.638847159221768, 1.5932355807278387], MAJ
[0.3611528407782316, -7.295653308161052], MAJ
[-4.638847159221768, 6.03768002517228], MAJ
[5.361152840778232, -0.6289866414943845], MAJ
[-7.138847159221768, -8.03639404890179], MAJ
[2.8611528407782316, 5.2969392844315415], MAJ
[-2.1388471592217684, -1.3697273822351252], MAJ
[7.861152840778232, -3.5919496044573473], MAJ
[-8.388847159221768, 9.741383728875983], MAJ
[1.6111528407782316, 3.074717062209318], MAJ
[-3.3888471592217684, -5.814171826679571], MAJ
[6.611152840778232, 7.519161506653759], MAJ
[-5.888847159221768, 0.8524948399870946], MAJ
[4.111152840778232, -8.777134789642533], MAJ
[-0.8888471592217684, 4.556198543690801], MAJ
[9.111152840778232, -2.110468122975866], MAJ
[-9.013847159221768, -4.332690345198088], MAJ
[0.9861528407782316, 9.000642988135244], MAJ
[5.986152840778232, -6.5549125674203115], MAJ
[-6.513847159221768, 6.778420765913021], MAJ
[3.4861528407782316, 0.11175409924635504], MAJ
[-1.5138471592217684, -9.847093637379158], MAJ
[8.486152840778232, 3.486239695954174], MAJ
[-7.763847159221768, -3.1804269707124924], MAJ
[2.2361528407782316, -5.402649192934714], MAJ
[-2.7638471592217684, 7.930684140398618], MAJ
[7.236152840778232, 1.2640174737319532], MAJ
[-5.263847159221768, -7.624871415156936], MAJ
[-0.2638471592217684, -0.95820474849027], MAJ
[9.736152840778232, -8.365612155897677], MAJ
[-9.795097159221768, 4.9677211774356556], MAJ
[0.20490284077823162, -1.6989454892310107], MAJ
[-4.795097159221768, -3.921167711453233], MAJ
[5.204902840778232, 9.4121656218801], MAJ
[-7.295097159221768, 2.7454989552134346], MAJ
[2.7049028407782316, -6.143389933675455], MAJ
[-2.2950971592217684, 7.189943399657876], MAJ
[7.704902840778232, 0.5232767329912114], MAJ
[-8.545097159221768, -9.106352896638418], MAJ
[1.4549028407782316, 4.226980436694916], MAJ
[-3.5450971592217684, -2.4396862299717514], MAJ
[6.454902840778232, -4.661908452193973], MAJ
[-6.045097159221768, 8.671424881139359], MAJ
[3.9549028407782316, 2.0047582144726928], MAJ
[-1.0450971592217684, -6.884130674416196], MAJ
[8.954902840778232, 6.449202658917135], MAJ
[-9.170097159221768, -0.21746400774952934], MAJ
[0.8299028407782316, -9.35326647688533], MAJ
[-4.170097159221768, 3.9800668564480013], MAJ
[5.829902840778232, -2.686599810218665], MAJ
[-6.670097159221768, -4.908822032440887], MAJ
[3.3299028407782316, 8.424511300892446], MAJ
[-1.6700971592217684, 1.7578446342257803], MAJ
[8.329902840778232, -7.131044254663109], MAJ
[-7.920097159221768, 6.202289078670223], MAJ
[2.0799028407782316, -0.4643775879964429], MAJ
[-2.9200971592217684, -7.87178499540385], MAJ
[7.079902840778232, 5.461548337929482], MAJ
[-5.420097159221768, -1.2051183287371836], MAJ
[4.579902840778232, -3.4273405509594057], MAJ
[-0.4200971592217684, 9.905992782373927], MAJ
[9.579902840778232, 3.2393261157072617], MAJ
[-9.482597159221768, -5.649562773181628], MAJ
[0.5174028407782316, 7.683770560151704], MAJ
[-4.482597159221768, 1.0171038934850385], MAJ
[5.517402840778232, -8.61252573614459], MAJ
[-6.982597159221768, 4.7208075971887435], MAJ
[3.0174028407782316, -1.9458590694779243], MAJ
[-1.9825971592217684, -4.168081291700147], MAJ
[8.017402840778232, 9.165252041633185], MAJ
[-8.232597159221768, 2.49858537496652], MAJ
[1.7674028407782316, -6.390303513922369], MAJ
[-3.2325971592217684, 6.943029819410961], MAJ
[6.767402840778232, 0.2763631527442989], MAJ
[-5.732597159221768, -9.600180057132246], MAJ
[-0.7325971592217684, -2.9335133904655786], MAJ
[9.267402840778232, -5.155735612687801], MAJ
[-8.857597159221768, 8.177597720645533], MAJ
[1.1424028407782316, 1.5109310539788678], MAJ
[-3.8575971592217684, -7.377957834910022], MAJ
[-6.357597159221768, -0.7112911682433565], MAJ
[3.6424028407782316, -8.118698575650763], MAJ
[-1.3575971592217684, 5.21463475768257], MAJ
[8.642402840778232, -1.4520319089840972], MAJ
[-7.607597159221768, -3.674254131206319], MAJ
[2.3924028407782316, 9.659079202127012], MAJ
[-2.6075971592217684, 2.992412535460347], MAJ
[7.392402840778232, -5.896476353428541], MAJ
[-5.107597159221768, 7.436856979904789], MAJ
[4.892402840778232, 0.7701903132381238], MAJ
[-0.10759715922176838, -8.859439316391505], MAJ
[9.892402840778232, 4.473894016941831], MAJ
[-9.873222159221768, -2.192772649724838], MAJ
[-4.873222159221768, 8.918338461386274], MAJ
[5.126777840778232, 2.2516717947196074], MAJ
[-7.373222159221768, -6.637217094169282], MAJ
[2.6267778407782316, 6.696116239164049], MAJ
[-2.3732221592217684, 0.029449572497384224], MAJ
[7.626777840778232, -9.956833006377787], MAJ
[-8.623222159221768, 3.376500326955545], MAJ
[1.3767778407782316, -3.2901663397111203], MAJ
[-3.6232221592217684, -5.512388561933342], MAJ
[6.376777840778232, 7.820944771399989], MAJ
[-6.123222159221768, 1.154278104733324], MAJ
[3.8767778407782316, -7.7346107841555645], MAJ
[-1.1232221592217684, 5.598722549177766], MAJ
[8.876777840778232, -1.0679441174888982], MAJ
[-9.248222159221768, -8.475351524896306], MAJ
[0.7517778407782316, 4.857981808437026], MAJ
[-4.248222159221768, -1.8086848582296389], MAJ
[5.751777840778232, -4.030907080451861], MAJ
[-6.748222159221768, 9.302426252881471], MAJ
[3.2517778407782316, 2.6357595862148053], MAJ
[-1.7482221592217684, -6.253129302674083], MAJ
[8.251777840778232, 7.080204030659248], MAJ
[-7.998222159221768, 0.4135373639925821], MAJ
[2.0017778407782316, -9.216092265637046], MAJ
[-2.9982221592217684, 4.117241067696287], MAJ
[7.001777840778232, -2.5494255989703793], MAJ
[-5.498222159221768, -4.771647821192602], MAJ
[4.501777840778232, 8.561685512140729], MAJ
[-0.4982221592217684, 1.8950188454740635], MAJ
[9.501777840778232, -6.993870043414824], MAJ
[-9.560722159221768, 6.3394632899185055], MAJ
[0.4392778407782316, -0.32720337674815747], MAJ
[-4.560722159221768, -9.46300584588396], MAJ
[5.439277840778232, 3.870327487449372], MAJ
[-7.060722159221768, -2.796339179217293], MAJ
[2.9392778407782316, -5.0185614014395155], MAJ
[-2.0607221592217684, 8.314771931893816], MAJ
[7.939277840778232, 1.648105265227151], MAJ
[-8.310722159221768, -7.240783623661738], MAJ
[1.6892778407782316, 6.092549709671593], MAJ
[-3.3107221592217684, -0.574116956995071], MAJ
[6.689277840778232, -7.981524364402478], MAJ
[-5.810722159221768, 5.351808968930854], MAJ
[4.189277840778232, -1.3148576977358117], MAJ
[-0.8107221592217684, -3.5370799199580336], MAJ
[9.189277840778232, 9.796253413375297], MAJ
[-8.935722159221768, 3.1295867467086325], MAJ
[-3.9357221592217684, 7.574031191153074], MAJ
[6.064277840778232, 0.9073645244864093], MAJ
[-6.435722159221768, -8.722265105143219], MAJ
[-1.4357221592217684, -2.0555984384765527], MAJ
[8.564277840778232, -4.277820660698774], MAJ
[-7.685722159221768, 9.055512672634556], MAJ
[2.3142778407782316, 2.3888460059678907], MAJ
[-2.6857221592217684, -6.500042882920996], MAJ
[7.314277840778232, 6.833290450412333], MAJ
[-5.185722159221768, 0.16662378374566966], MAJ
[4.814277840778232, -9.709919426130874], MAJ
[-0.18572215922176838, 3.6234139072024574], MAJ
[9.814277840778232, -3.043252759464207], MAJ
[-9.716972159221768, -5.265474981686429], MAJ
[0.2830278407782316, 8.067858351646905], MAJ
[-4.716972159221768, 1.4011916849802386], MAJ
[5.283027840778232, -7.487697203908651], MAJ
[-7.216972159221768, 5.845636129424681], MAJ
[2.7830278407782316, -0.8210305372419846], MAJ
[-2.2169721592217684, -8.228437944649391], MAJ
[7.783027840778232, 5.104895388683941], MAJ
[-8.466972159221768, -1.5617712779827253], MAJ
[1.5330278407782316, -3.7839935002049474], MAJ
[-3.4669721592217684, 9.549339833128382], MAJ
[6.533027840778232, 2.882673166461718], MAJ
[-5.966972159221768, -6.00621572242717], MAJ
[4.033027840778232, 7.32711761090616], MAJ
[-0.9669721592217684, 0.6604509442394946], MAJ
[9.033027840778232, -8.969178685390132], MAJ
[-9.091972159221768, 4.364154647943201], MAJ
[0.9080278407782316, -2.302512018723466], MAJ
[-4.091972159221768, -4.524734240945688], MAJ
[5.908027840778232, 8.808599092387643], MAJ
[-6.591972159221768, 2.141932425720978], MAJ
[3.4080278407782316, -6.74695646316791], MAJ
[-1.5919721592217684, 6.58637687016542], MAJ
[8.408027840778232, -0.0802897965012439], MAJ
[-7.841972159221768, -9.792223952879844], MAJ
[2.1580278407782316, 3.5411093804534866], MAJ
[-2.8419721592217684, -3.1255572862131773], MAJ
[7.158027840778232, -5.3477795084354], MAJ
[-5.341972159221768, 7.985553824897931], MAJ
[4.658027840778232, 1.3188871582312656], MAJ
[-4.699177984148264, -9.633091045252728], MIN
[-7.199177984148264, -2.9664243785860633], MIN
[-2.199177984148264, 8.144686732525049], MIN
[7.800822015851736, 1.478020065858383], MIN
[-8.449177984148264, -7.410868823030505], MIN
[6.550822015851736, -8.151609563771247], MIN
[6.637937709703808, -8.106689470173032], MIN
[4.050822015851736, -1.484942897104582], MIN
[4.142298676076458, -1.74245370337858], MIN
[9.050822015851736, 9.626168214006528], MIN
[8.910228491102986, 9.378638251215435], MIN
[-9.074177984148264, 2.9595015473398623], MIN
[-9.22801931900512, 3.327598690138476], MIN
[-4.074177984148264, 7.403945991784305], MIN
[-3.708980232459025, 7.612145786753585], MIN
[5.925822015851736, 0.737279325117639], MIN
[6.38983450014183, 0.7561244307271261], MIN
[-6.574177984148264, -8.892350304511988], MIN
[-6.383604628018378, -9.120219347651965], MIN
[8.425822015851736, -4.447905860067545], MIN
[8.99666234707051, -4.49083317274318], MIN
